year,mean_eur_mwh,median_eur_mwh,std_eur_mwh,min_eur_mwh,max_eur_mwh,mean_nok_kwh,median_nok_kwh,std_nok_kwh,min_nok_kwh,max_nok_kwh,p10_eur_mwh,p90_eur_mwh,p10_nok_kwh,p90_nok_kwh,volatility,num_hours,num_negative,pct_negative
2014,30.8344,30.2200,3.2467,26.3800,58.1200,0.3546,0.3475,0.0373,0.3034,0.6684,28.5940,32.6020,0.3288,0.3749,0.1053,479,0,0.0000
2015,19.8540,21.9700,7.8271,1.0300,89.7600,0.2283,0.2527,0.0900,0.0118,1.0322,9.4980,27.7620,0.1092,0.3193,0.3942,8759,0,0.0000
2016,26.1681,23.6400,10.2053,6.0100,214.2500,0.3009,0.2719,0.1174,0.0691,2.4639,19.0000,36.3300,0.2185,0.4178,0.3900,8783,0,0.0000
2017,29.0353,28.9500,4.8790,4.4200,114.7000,0.3339,0.3329,0.0561,0.0508,1.3191,24.6080,32.8200,0.2830,0.3774,0.1680,8759,0,0.0000
2018,43.6531,43.8600,10.4669,1.9200,255.0200,0.5020,0.5044,0.1204,0.0221,2.9327,31.4260,54.5400,0.3614,0.6272,0.2398,8759,0,0.0000
2019,39.2883,38.8200,8.3421,5.8600,109.4500,0.4518,0.4464,0.0959,0.0674,1.2587,30.0600,49.1600,0.3457,0.5653,0.2123,8759,0,0.0000
2020,9.2872,6.9600,8.2760,-1.7300,99.9200,0.1068,0.0800,0.0952,-0.0199,1.1491,1.4300,21.2880,0.0164,0.2448,0.8911,8783,5,0.0569
2021,74.6785,58.3800,47.7644,-1.9700,600.1600,0.8588,0.6714,0.5493,-0.0227,6.9018,37.4180,124.1940,0.4303,1.4282,0.6396,8759,5,0.0571
2022,192.5272,168.9300,109.7350,0.0400,799.9700,2.2141,1.9427,1.2620,0.0005,9.1997,94.9760,353.2560,1.0922,4.0624,0.5700,8759,0,0.0000
2023,66.9530,70.0000,44.6835,-61.8400,332.0000,0.7700,0.8050,0.5139,-0.7112,3.8180,2.8680,118.0940,0.0330,1.3581,0.6674,8759,381,4.3498
2024,42.0369,37.7500,33.3729,-59.9600,532.2600,0.4834,0.4341,0.3838,-0.6895,6.1210,5.7840,74.3940,0.0665,0.8555,0.7939,8783,231,2.6301
