month,pv_total_kwh,load_total_kwh,grid_import_kwh,grid_export_kwh,battery_charge_kwh,battery_discharge_kwh,curtailment_kwh,energy_cost_nok,power_cost_nok,total_cost_nok,peak_kw
1,9522.593519513626,11010.894910348155,3341.580944288105,1751.2763237951615,844.4486294338769,775.1826992592974,0.0,2026.5781264454206,10.165534397759057,2036.7436608431703,10.589098330999017
2,11751.285619825328,10117.190640829782,1708.5618266707781,3193.248641138896,1079.4750902158542,971.5275811942688,0.0,-246.2294535545512,9.24828419671317,-236.98116935783824,9.63362937157622
3,15600.844702181901,10300.5145935515,1375.783436635853,6526.821836360286,1078.6336974922415,970.7703277430174,0.0,-2361.1801355874773,8.603264084676765,-2352.5768715028,8.961733421538296
4,18087.699083908003,10564.042775588969,1217.956677600084,8601.60614192694,1011.550480037863,910.3954320340767,0.0,-3632.0896809490678,8.021250502201918,-3624.068430446867,8.355469273126998
5,21780.400071227978,11010.894910348155,1157.2983910474431,11782.604960032488,1041.8358895376232,937.6523005838608,0.0,-5404.814158193354,7.458711366087206,-5397.355446827269,7.769491006340839
6,24067.913957178404,5912.197475275389,137.8320033648361,18167.092273310926,913.6470636816977,822.2823573135279,0.0,-9696.380592808546,2.1998874326606095,-9694.18070537589,2.291549409021468
7,24718.22147618431,6606.536946208893,165.11731226826907,18143.52556481068,962.9220870270241,866.6298783243218,0.0,-9660.901442691958,3.6664790544343493,-9657.234963637533,3.8192490150357803
8,21577.79169847237,6393.422851169897,193.88643323283452,15246.411223713312,952.5742825534743,857.3168542981269,0.0,-8072.502771023557,3.6664790544343493,-8068.836291969113,3.8192490150357807
9,17891.626465112255,10208.852617190641,1172.65579316644,8717.04238284512,999.848961059227,899.8640649533043,0.0,-3734.0763646218093,6.110798424057249,-3727.9655661977563,6.365415025059634
10,15398.236329426292,11010.894910348155,1501.5686670650903,5737.481938349412,1094.0694842077328,984.6625357869593,0.0,-1825.745064596476,8.077574397280129,-1817.6674901991962,8.414139997166801
11,11911.411591841857,10208.852617190641,1782.298619116914,3333.0631152781525,1096.7162261882756,987.0446035694481,0.0,-253.81083394592576,8.659587979754974,-245.1512459661712,9.020404145578098
12,9218.680960380214,10655.704751949826,3387.8842075966154,1847.750614413295,744.9690768315604,670.4721691484044,0.0,2024.7904989453616,10.638975687600187,2035.4294746329551,11.082266341250193
