month,pv_total_kwh,load_total_kwh,grid_import_kwh,grid_export_kwh,curtailment_kwh,energy_cost_nok,power_cost_nok,total_cost_nok,peak_kw
1,819.3739999999999,11070.477287452306,10319.567776905908,68.46448945360305,0.0,15770.54284472347,1058.2391476495573,16828.781992373024,37.79425527319847
2,2952.2929999999997,10634.2235980131,8528.041878626447,846.1112806133466,0.0,12302.28937863384,1058.2391476495573,13360.528526283399,37.79425527319847
3,6830.447,10457.130516161542,6253.241251673746,2626.557735512202,0.0,5172.2827478241525,999.7751476495573,6172.057895473708,35.70625527319847
4,11502.069,10634.2235980131,4461.862429774675,5329.707831761572,0.0,1025.4003365334786,964.6631476495573,1990.063484183033,34.452255273198475
5,15412.643,11070.477287452304,3242.416294363257,7540.233262184147,44.34874472680153,-2263.8725860712384,809.1883392124396,-1454.6842468588,28.899583543301418
6,15024.787,5010.438413361169,1158.762365776402,11173.11095241523,0.0,-4945.757935764324,336.5401696062199,-4609.217766158105,12.01929177165071
7,12224.101999999999,5535.238643726153,1464.932343603772,8153.795699877617,0.0,-3229.166122519358,314.78416960621985,-2914.38195291314,11.24229177165071
8,11336.205999999998,7534.662731264847,2678.289803469872,6479.833072205025,0.0,-979.0983945468383,627.98340335469,-351.11499119214847,22.42797869123893
9,5864.393,10327.55021236772,6097.308126340797,1634.150913973076,0.0,6375.895064138693,988.3791476495574,7364.27421178825,35.299255273198476
10,3690.625,11070.477287452306,8232.780659635735,852.9283721834279,0.0,9867.908593760325,1017.1351476495571,10885.043741409883,36.32625527319847
11,1009.363,10327.55021236772,9466.518163847093,148.33095147937513,0.0,11900.21105177352,1056.615147649557,12956.82619942307,37.73625527319847
12,512.271,10776.782043883426,10331.190250636,66.6792067525736,0.0,15540.648360236744,1058.2391476495573,16598.88750788629,37.79425527319847
