month,total_charged_kwh,total_discharged_kwh,total_import_kwh,total_export_kwh,energy_cost_nok,power_cost_nok,degradation_cost_nok,total_cost_nok,year
1,1988.1610190208469,1800.7291166953682,19621.62379166664,32.31321943253256,28177.169820863808,229.5739590265752,0.0,28406.743779890392,2024
2,1783.8502122816985,1605.4651910535285,17710.455744542738,661.15554113283,24788.02935465936,205.09084146591064,0.0,24993.120196125285,2024
3,1911.730255078381,1720.5572295705426,14570.146017254074,2394.4137824344907,14530.69820689112,200.3902008051644,0.0,14731.088407696287,2024
4,1711.041733573599,1539.937560216239,12609.064197111584,5734.578648814479,9213.275869081046,183.4465148320131,0.0,9396.72238391306,2024
5,1881.6780777117656,1693.5102699405888,9731.789680655895,7919.502631202284,4083.247565750722,183.20648392230999,0.0,4266.454049673033,2024
6,1780.4816453823973,1602.4334808441572,9900.156124142602,9047.514641712016,3399.903311249097,176.4693836386261,0.0,3576.372694887722,2024
7,1844.6629680329988,1660.196671229699,9479.090502026189,7993.127720041617,3554.6372975553804,172.91135921716108,0.0,3727.548656772542,2024
8,1731.8384103226333,1558.6545692903699,11307.518511207498,6499.426172714735,6054.328347513052,174.39120585745064,0.0,6228.7195533705035,2024
9,1788.7421732711362,1609.8679559440225,12264.858385561114,4387.278795840147,8785.544042206959,180.27663060891743,0.0,8965.820672815877,2024
10,1830.029974559845,1647.0269771038602,15092.797715590052,1357.3044374916244,16610.99225193711,195.37510891772743,0.0,16806.36736085484,2024
11,1935.7829713968617,1742.2046742571752,16758.32764815797,740.3630228974914,19318.880812010626,206.4234318101164,0.0,19525.304243820745,2024
12,3501.0576075352064,3150.951846781685,38816.139244886705,87.9891834085673,51293.29776639971,421.58936654156173,0.0,51714.887132941265,2024
